2018-12-18 22:04:52 --> VendorID: 1 || passenger_count: 1 || trip_distance: 2.9 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 161 || DOLocationID: 158 || payment_type: 1 || fare_amount: 13.0 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 2.85 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 17.15 || DOdatetime: 2018-12-18 22:21:55 || trip_duration: 17 ||
2018-09-26 21:51:49 --> VendorID: 1 || passenger_count: 1 || trip_distance: 7.2 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 13 || DOLocationID: 229 || payment_type: 1 || fare_amount: 29.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 6.15 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 36.95 || DOdatetime: 2018-09-26 22:27:27 || trip_duration: 35 ||
2018-05-02 11:10:36 --> VendorID: 2 || passenger_count: 6 || trip_distance: 7.25 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 141 || DOLocationID: 13 || payment_type: 1 || fare_amount: 24.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 4.5 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 29.8 || DOdatetime: 2018-05-02 11:31:22 || trip_duration: 20 ||
2018-05-03 00:00:18 --> VendorID: 2 || passenger_count: 2 || trip_distance: 2.79 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 229 || DOLocationID: 75 || payment_type: 1 || fare_amount: 9.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 2.16 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 12.96 || DOdatetime: 2018-05-03 00:07:47 || trip_duration: 7 ||
2018-10-03 12:41:05 --> VendorID: 1 || passenger_count: 1 || trip_distance: 5.7 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 233 || DOLocationID: 261 || payment_type: 1 || fare_amount: 23.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 4.86 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 29.16 || DOdatetime: 2018-10-03 13:06:40 || trip_duration: 25 ||
2018-12-04 15:51:15 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.8 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 238 || DOLocationID: 41 || payment_type: 2 || fare_amount: 9.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 9.8 || DOdatetime: 2018-12-04 16:01:37 || trip_duration: 10 ||
2018-03-01 21:16:50 --> VendorID: 2 || passenger_count: 2 || trip_distance: 2.18 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 68 || DOLocationID: 170 || payment_type: 2 || fare_amount: 10.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.8 || DOdatetime: 2018-03-01 21:30:12 || trip_duration: 13 ||
2018-03-15 09:47:19 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.0 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 237 || DOLocationID: 162 || payment_type: 1 || fare_amount: 8.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 2.2 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.0 || DOdatetime: 2018-03-15 09:57:38 || trip_duration: 10 ||
2018-11-26 20:41:43 --> VendorID: 2 || passenger_count: 1 || trip_distance: 0.92 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 161 || DOLocationID: 170 || payment_type: 1 || fare_amount: 5.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 1.36 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 8.16 || DOdatetime: 2018-11-26 20:46:18 || trip_duration: 4 ||
2018-04-21 21:12:23 --> VendorID: 2 || passenger_count: 1 || trip_distance: 0.57 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 232 || DOLocationID: 144 || payment_type: 1 || fare_amount: 4.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 5.8 || DOdatetime: 2018-04-21 21:16:24 || trip_duration: 4 ||
2018-04-16 09:02:25 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.4 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 113 || DOLocationID: 125 || payment_type: 1 || fare_amount: 8.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.85 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.15 || DOdatetime: 2018-04-16 09:13:02 || trip_duration: 10 ||
2018-11-28 07:40:38 --> VendorID: 2 || passenger_count: 1 || trip_distance: 1.61 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 100 || DOLocationID: 161 || payment_type: 2 || fare_amount: 8.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 9.3 || DOdatetime: 2018-11-28 07:50:49 || trip_duration: 10 ||
2018-01-31 13:51:53 --> VendorID: 2 || passenger_count: 1 || trip_distance: 0.39 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 236 || DOLocationID: 236 || payment_type: 1 || fare_amount: 5.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.16 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 6.96 || DOdatetime: 2018-01-31 13:57:09 || trip_duration: 5 ||
2018-11-19 13:09:21 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.5 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 43 || DOLocationID: 142 || payment_type: 2 || fare_amount: 4.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 5.3 || DOdatetime: 2018-11-19 13:13:42 || trip_duration: 4 ||
2018-12-06 05:41:35 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.4 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 100 || DOLocationID: 68 || payment_type: 2 || fare_amount: 3.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 4.8 || DOdatetime: 2018-12-06 05:43:42 || trip_duration: 2 ||
2018-12-19 13:41:51 --> VendorID: 1 || passenger_count: 4 || trip_distance: 1.6 || RatecodeID: 1.0 || store_and_fwd_flag: True || PULocationID: 43 || DOLocationID: 161 || payment_type: 2 || fare_amount: 14.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 15.3 || DOdatetime: 2018-12-19 14:04:37 || trip_duration: 22 ||
2018-09-09 14:36:38 --> VendorID: 2 || passenger_count: 1 || trip_distance: 1.17 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 90 || DOLocationID: 68 || payment_type: 2 || fare_amount: 6.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 7.3 || DOdatetime: 2018-09-09 14:42:45 || trip_duration: 6 ||
2018-12-31 16:23:25 --> VendorID: 2 || passenger_count: 1 || trip_distance: 0.81 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 68 || DOLocationID: 234 || payment_type: 1 || fare_amount: 5.5 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 0.73 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 8.03 || DOdatetime: 2018-12-31 16:29:25 || trip_duration: 6 ||
2018-12-12 13:04:53 --> VendorID: 2 || passenger_count: 2 || trip_distance: 3.64 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 186 || DOLocationID: 12 || payment_type: 1 || fare_amount: 17.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 3.56 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 21.36 || DOdatetime: 2018-12-12 13:27:39 || trip_duration: 22 ||
2018-12-25 22:42:24 --> VendorID: 1 || passenger_count: 4 || trip_distance: 7.7 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 162 || DOLocationID: 256 || payment_type: 1 || fare_amount: 24.0 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 6.2 || tolls_amount: 5.76 || improvement_surcharge: 0.3 || total_amount: 37.26 || DOdatetime: 2018-12-25 23:02:22 || trip_duration: 19 ||
2018-07-25 10:32:38 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.7 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 162 || DOLocationID: 100 || payment_type: 1 || fare_amount: 10.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.08 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.88 || DOdatetime: 2018-07-25 10:47:09 || trip_duration: 14 ||
2018-12-16 13:50:01 --> VendorID: 2 || passenger_count: 6 || trip_distance: 0.55 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 163 || DOLocationID: 48 || payment_type: 2 || fare_amount: 4.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 5.3 || DOdatetime: 2018-12-16 13:54:01 || trip_duration: 4 ||
2018-03-25 16:54:53 --> VendorID: 2 || passenger_count: 1 || trip_distance: 2.6 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 68 || DOLocationID: 162 || payment_type: 1 || fare_amount: 12.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 2.56 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 15.36 || DOdatetime: 2018-03-25 17:10:59 || trip_duration: 16 ||
2018-01-18 21:13:26 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.8 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 162 || DOLocationID: 163 || payment_type: 2 || fare_amount: 6.0 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 7.3 || DOdatetime: 2018-01-18 21:19:55 || trip_duration: 6 ||
2018-01-22 12:56:27 --> VendorID: 1 || passenger_count: 3 || trip_distance: 1.1 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 186 || DOLocationID: 246 || payment_type: 1 || fare_amount: 9.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.95 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.75 || DOdatetime: 2018-01-22 13:08:30 || trip_duration: 12 ||
2018-05-11 17:30:51 --> VendorID: 2 || passenger_count: 1 || trip_distance: 0.68 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 238 || DOLocationID: 238 || payment_type: 1 || fare_amount: 5.5 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 2.19 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 9.49 || DOdatetime: 2018-05-11 17:36:22 || trip_duration: 5 ||
2018-06-28 15:20:18 --> VendorID: 1 || passenger_count: 2 || trip_distance: 2.8 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 145 || DOLocationID: 186 || payment_type: 1 || fare_amount: 17.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 5.76 || improvement_surcharge: 0.3 || total_amount: 23.56 || DOdatetime: 2018-06-28 15:45:51 || trip_duration: 25 ||
2018-11-24 11:02:05 --> VendorID: 1 || passenger_count: 1 || trip_distance: 4.4 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 186 || DOLocationID: 238 || payment_type: 1 || fare_amount: 16.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 3.35 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 20.15 || DOdatetime: 2018-11-24 11:17:01 || trip_duration: 14 ||
2018-07-22 20:53:07 --> VendorID: 2 || passenger_count: 1 || trip_distance: 1.43 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 229 || DOLocationID: 236 || payment_type: 1 || fare_amount: 7.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 1.32 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 10.12 || DOdatetime: 2018-07-22 21:00:13 || trip_duration: 7 ||
2018-05-03 16:12:49 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.3 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 234 || DOLocationID: 170 || payment_type: 1 || fare_amount: 8.5 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 2.05 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 12.35 || DOdatetime: 2018-05-03 16:23:45 || trip_duration: 10 ||
2018-07-19 11:34:20 --> VendorID: 1 || passenger_count: 1 || trip_distance: 2.7 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 249 || DOLocationID: 232 || payment_type: 1 || fare_amount: 17.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 5.45 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 23.75 || DOdatetime: 2018-07-19 12:01:55 || trip_duration: 27 ||
2018-11-09 13:05:18 --> VendorID: 2 || passenger_count: 4 || trip_distance: 5.84 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 116 || DOLocationID: 237 || payment_type: 1 || fare_amount: 22.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.25 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 24.55 || DOdatetime: 2018-11-09 13:31:14 || trip_duration: 25 ||
2018-05-15 13:41:52 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.5 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 161 || DOLocationID: 237 || payment_type: 1 || fare_amount: 7.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 2.45 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 10.75 || DOdatetime: 2018-05-15 13:51:39 || trip_duration: 9 ||
2018-10-04 12:24:23 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.9 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 236 || DOLocationID: 237 || payment_type: 1 || fare_amount: 7.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.55 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 9.35 || DOdatetime: 2018-10-04 12:33:01 || trip_duration: 8 ||
2018-05-17 07:11:05 --> VendorID: 1 || passenger_count: 1 || trip_distance: 0.9 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 238 || DOLocationID: 239 || payment_type: 1 || fare_amount: 4.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.05 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 6.35 || DOdatetime: 2018-05-17 07:13:51 || trip_duration: 2 ||
2018-03-13 15:15:13 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.3 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 41 || DOLocationID: 41 || payment_type: 1 || fare_amount: 11.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.2 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 12.5 || DOdatetime: 2018-03-13 15:32:12 || trip_duration: 16 ||
2018-01-03 19:42:50 --> VendorID: 2 || passenger_count: 2 || trip_distance: 3.14 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 230 || DOLocationID: 158 || payment_type: 1 || fare_amount: 15.5 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 3.46 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 20.76 || DOdatetime: 2018-01-03 20:04:25 || trip_duration: 21 ||
